El,Energy (keV),I,LDE1,LDE2,LDE4,LIF,Lambda (A),Line,Line old,PET,STE,TAP,Z
K,3.607158446,,16.037,9.818571429,24.0555,238.9599424,3.4365,AK,AK,110.0686342,9.583864542,37.35761152,19
K,0.259656473,100,222.7866667,136.4,334.18,3319.641394,47.74,L$\iota$,L_,1529.078014,133.1394422,518.9734829,19
Ca,4.031743967,,14.34813333,8.784571429,21.5222,213.7949189,3.0746,K$\beta$5,K$\beta$5,98.47723633,8.574581673,33.4234577,20
Ca,0.341205615,100,169.54,103.8,254.31,2526.237366,36.33,"L$\alpha$1,2","L$\alpha$1,2",1163.623885,101.3187251,394.9372986,20
Ca,0.349281488,,165.62,101.4,248.43,2467.827253,35.49,Al3,Al3,1136.719286,98.97609562,385.8058004,20
Sc,4.089874295,100,14.1442,8.659714286,21.2163,210.7562023,3.0309,K$\alpha$1,K_1,97.07755662,8.452709163,32.94840238,21
Fe,0.707332382,,81.78333333,50.07142857,122.675,1218.61574,17.525,Al3,Al3,561.3132006,48.87450199,190.5113173,26
Cu,0.932871764,,62.01066667,37.96571429,93.016,923.9923511,13.288,Al3,Al3,425.6051247,37.05816733,144.4516054,29
Zn,9.648194271,,5.995733333,3.670857143,8.9936,89.33965778,1.2848,K$\beta$5,K$\beta$5,41.15122398,3.58310757,13.96684396,30
Zn,1.045017704,,55.356,33.89142857,83.034,824.8342315,11.862,Al2,Al2,379.9313658,33.0812749,128.9498001,30
Ga,1.196640602,2,48.342,29.59714286,72.513,720.3218516,10.359,"L$\beta$3,4","L_3,4",331.7913521,28.88964143,112.6109407,31
As,1.119580925,1,51.66933333,31.63428571,77.504,769.9009114,11.072,L$\iota$,L_,354.6282315,30.87808765,120.3618434,33
Se,1.489724793,2,38.83133333,23.77428571,58.247,578.607793,8.321,"L$\beta$3,4","L_3,4",266.5156715,23.2059761,90.45618667,34
Br,11.90663721,150,4.858466667,2.974571429,7.2877,72.39377157,1.0411,"K$\alpha$1,2","K_1,2",33.34568749,2.903466135,11.31762239,35
Br,1.339384117,1,43.19,26.44285714,64.785,643.5542752,9.255,L$\eta$,L$\eta$,296.4310226,25.81075697,100.609543,35
Kr,1.706497797,1,33.89866667,20.75428571,50.848,505.1084014,7.264,L$\beta$3,L_3,232.6607184,20.25816733,78.96571806,36
Kr,1.697152245,1,34.08533333,20.86857143,51.128,507.8898353,7.304,L$\beta$4,L_4,233.9418897,20.36972112,79.40055131,36
Rb,1.751861954,45,33.02086667,20.21685714,49.5313,492.0287084,7.0759,L$\beta$1,L$\beta$1,226.6360101,19.73358566,76.9209147,37
Sr,16.0817841,3,3.597113333,2.202314286,5.39567,53.59892716,0.77081,K$\beta$2,K_2,24.68849234,2.149669323,8.379345421,38
Sr,15.82232433,8,3.6561,2.238428571,5.48415,54.47786028,0.78345,K$\beta$3,K_3,25.09334248,2.184920319,8.516752727,38
Y,14.93062247,150,3.874453333,2.372114286,5.81168,57.73144262,0.83024,"K$\alpha$1,2","K_1,2",26.59199268,2.315410359,9.025398921,39
Y,2.034065177,3,28.4396,17.412,42.6594,423.7653662,6.0942,L$\beta$6,L_6,195.192862,16.99577689,66.24901968,39
Y,0.132719486,10,435.8666667,266.8571429,653.8,6494.648223,93.4,MZ,MZ,2991.535118,260.4780876,1015.335637,39
Nb,18.97734231,,3.048266667,1.866285714,4.5724,45.42081605,0.6532,K$\beta$4,K_4,20.92152825,1.821673307,7.10082696,41
Nb,2.370172084,,24.40666667,14.94285714,36.61,363.6724862,5.23,Al3,Al3,167.5131549,14.58565737,56.85444733,41
Mo,19.76718227,,2.926466667,1.791714286,4.3897,43.60593041,0.6271,K$\beta$5+2,K$\beta$5+2,20.08556394,1.748884462,6.817098265,42
Mo,2.119880291,1,27.28833333,16.70714286,40.9325,406.6108724,5.8475,L$\eta$,L$\eta$,187.2912377,16.30776892,63.56718562,42
N,0.4,,144.62,88.54285714,216.93,2154.915936,30.99,AK,AK,992.5875086,86.42629482,336.8870598,7
Al,0.153676407,,376.4273333,230.4657143,564.641,5608.970124,80.663,SK$\beta$+,SK_+,2583.578129,224.9565737,876.8738595,13
Si,1.739486742,150,33.25578667,20.36068571,49.88368,495.529143,7.12624,"K$\alpha$1,2","K_1,2",228.2483642,19.8739761,77.46815235,14
Si,1.82885807,5,31.63066667,19.36571429,47.446,471.3139792,6.778,K$\beta$1,K_1,217.0944864,18.90278884,73.68249408,14
Si,1.754182386,3,32.97718667,20.19011429,49.46578,491.3778528,7.06654,SK$\alpha\4,SK$\alpha\4,226.336216,19.70748207,76.81916372,14
P,2.123439026,,27.2426,16.67914286,40.8639,405.9294211,5.8377,SK$\beta$+,SK_+,186.9773507,16.28043825,63.46065147,15
Sc,4.485778389,,12.89586667,7.895428571,19.3438,192.155363,2.7634,K$\beta$5,K$\beta$5,88.50972318,7.706693227,30.04045502,21
Ti,0.458262477,10,126.2333333,77.28571429,189.35,1880.944694,27.05,L$\beta$1,L$\beta$1,866.3921299,75.43824701,294.0559848,22
Ti,0.401294917,1,144.1533333,88.25714286,216.23,2147.962351,30.89,L$\eta$,L$\eta$,989.3845802,86.14741036,335.7999767,22
Mn,5.894044144,150,9.814653333,6.008971429,14.72198,146.2436238,2.10314,"K$\alpha$1,2","K_1,2",67.36206818,5.865330677,22.86287999,25
Co,6.924133925,150,8.354546667,5.115028571,12.53182,124.4872476,1.79026,"K$\alpha$1,2","K_1,2",57.34074582,4.992756972,19.46161432,27
Co,0.778887842,,74.27,45.47142857,111.405,1106.663024,15.915,Al3,Al3,509.7460535,44.38446215,173.009279,27
Cu,8.901335631,6,6.4988,3.978857143,9.7482,96.83562222,1.3926,K$\beta$3,K_3,44.60398078,3.88374502,15.13871957,29
Zn,9.65646179,,5.9906,3.667714286,8.9859,89.26316835,1.2837,K$\beta$2,K_2,41.11599176,3.580039841,13.95488605,30
Zn,1.034465493,26,55.92066667,34.23714286,83.881,833.2480691,11.983,L$\beta$1,L$\beta$1,383.8069092,33.4187251,130.2651706,30
Ga,9.223214286,50,6.272,3.84,9.408,93.45618,1.344,K$\alpha$2,K_2,43.04735758,3.748207171,14.61039717,31
Ga,10.34638177,,5.591133333,3.423142857,8.3867,83.31089974,1.1981,K$\beta$5,K$\beta$5,38.37428506,3.341314741,13.0243429,31
Ge,1.293810667,1,44.71133333,27.37428571,67.067,666.2229617,9.581,L$\beta$3,L_3,306.8725692,26.71992032,104.153434,32
Ge,1.06779223,1,54.17533333,33.16857143,81.263,807.2416619,11.609,L$\eta$,L$\eta$,371.827957,32.37569721,126.1994798,32
As,11.86220096,1,4.876666667,2.985714286,7.315,72.66496138,1.045,K$\beta$2,K_2,33.47060169,2.914342629,11.36001864,33
Se,1.433726579,,40.348,24.70285714,60.522,601.2069437,8.646,Al3,Al3,276.9251887,24.1123506,93.98920682,34
Br,13.46717945,2,4.29548,2.629885714,6.44322,64.00496685,0.92046,K$\beta$2,K_2,29.48167467,2.56701992,10.00616531,35
Br,1.781290415,,32.47533333,19.88285714,48.713,483.8999677,6.959,Al1,Al1,222.8917868,19.40756972,75.65011453,35
Kr,14.23518604,,4.063733333,2.488,6.0956,60.55181662,0.8708,K$\beta$5,K$\beta$5,27.89110043,2.428525896,9.466319835,36
Rb,15.1828036,3,3.8101,2.332714286,5.71515,56.77254327,0.81645,K$\beta$2,K_2,26.15030885,2.276952191,8.875490158,37
Mo,19.77348859,,2.925533333,1.791142857,4.3883,43.59202324,0.6269,K$\beta$5+,K$\beta$5+,20.07915809,1.748326693,6.814924098,42
Mo,0.33056,100,175,107.1428571,262.5,2607.594308,37.5,M3-N1,M3-N1,1201.098147,104.5816733,407.6561711,42
Mg,1.25875191,2,45.95663333,28.13671429,68.93495,684.7786028,9.84785,SK$\alpha$+,SK_+,315.4195836,27.46412351,107.0543153,12
Al,1.486022684,50,38.92807333,23.83351429,58.39211,580.0492711,8.34173,K$\alpha$2,K_2,267.1796385,23.26378884,90.681539,13
Cl,2.639878867,4,21.91312667,13.4162,32.86969,326.5173964,4.69567,SK$\alpha\4,SK$\alpha\4,150.3989476,13.09549402,51.04583608,17
Ar,2.957202157,100,19.56173333,11.97657143,29.3426,291.4803685,4.1918,K$\alpha$1,K_1,134.2603523,11.69027888,45.56835035,18
Ar,2.955129519,50,19.57545333,11.98497143,29.36318,291.6848039,4.19474,K$\alpha$2,K_2,134.3545184,11.69847809,45.6003106,18
K,0.262404742,100,220.4533333,134.9714286,330.68,3284.87347,47.24,L$\eta$,L$\eta$,1513.063372,131.7450199,513.5380673,19
Sc,0.395406699,100,146.3,89.57142857,219.45,2179.948841,31.35,"L$\alpha$1,2","L$\alpha$1,2",1004.118051,87.43027888,340.8005591,21
Ti,4.963760862,,11.65406667,7.135142857,17.4811,173.6518737,2.4973,AK,AK,79.98673073,6.964581673,27.14772683,22
Ti,0.45423232,,127.3533333,77.97142857,191.03,1897.633298,27.29,"Al2,3","Al2,3",874.0791581,76.10756972,296.6649843,22
Cr,5.404580552,50,10.70351333,6.553171429,16.05527,159.4881168,2.29361,K$\alpha$2,K_2,73.46268588,6.396521912,24.93344722,24
Mn,5.897745763,100,9.808493333,6.0052,14.71274,146.1518365,2.10182,K$\alpha$1,K_1,67.31978952,5.861649402,22.8485305,25
Fe,7.109836536,,8.136333333,4.981428571,12.2045,121.2357514,1.7435,AK,AK,55.84305651,4.862350598,18.95329425,26
Ni,7.459605837,50,7.754833333,4.747857143,11.63225,115.5511958,1.66175,K$\alpha$2,K_2,53.22466255,4.63436255,18.0646038,28
Zn,8.614315497,50,6.715333333,4.111428571,10.073,100.0620856,1.439,K$\alpha$2,K_2,46.09013956,4.01314741,15.64312614,30
Ga,10.36628199,,5.5804,3.416571429,8.3706,83.15096729,1.1958,AK,AK,38.30061771,3.334900398,12.99933999,31
As,11.81922197,,4.8944,2.996571429,7.3416,72.92919761,1.0488,K$\beta$5,K$\beta$5,33.59231297,2.924940239,11.40132779,33
Br,1.293270736,1,44.73,27.38571429,67.095,666.5011051,9.585,L$\iota$,L_,307.0006863,26.7310757,104.1969173,35
Kr,1.676948052,,34.496,21.12,51.744,514.00899,7.392,Al3,Al3,236.7604667,20.61513944,80.35718445,36
Sr,1.581889181,3,36.56893333,22.38914286,54.8534,544.8968138,7.8362,L$\iota$,L_,250.9878746,21.85394422,85.18600769,38
Y,2.071801043,3,27.9216,17.09485714,41.8824,416.046887,5.9832,L$\beta$3,L_3,191.6376115,16.68621514,65.04235742,39
Zr,17.96704013,4,3.219673333,1.971228571,4.82951,47.97486776,0.68993,K$\beta$2,K_2,22.09796385,1.92410757,7.500112591,40
Nb,1.90192709,3,30.41546667,18.62171429,45.6232,453.2068443,6.5176,L$\iota$,L_,208.7540609,18.17657371,70.85172963,41
Nb,2.463923673,,23.478,14.37428571,35.217,349.8348524,5.031,Al2,Al2,161.1393274,14.03067729,54.69115192,41
Mo,19.99354839,,2.893333333,1.771428571,4.34,43.11222589,0.62,K$\beta$4,K_4,19.85815603,1.729083665,6.739915363,42
Mo,20,,2.8924,1.770857143,4.3386,43.09831872,0.6198,AK,AK,19.85175017,1.728525896,6.737741197,42
N,0.392278481,100,147.4666667,90.28571429,221.2,2197.332804,31.6,K$\alpha$,K_,1012.125372,88.12749004,343.5182669,7
B,0.181466842,100,318.78,195.1714286,478.17,4749.993791,68.31,K$\alpha$,K_,2187.920384,190.5059761,742.5864813,5
B,0.191888545,,301.4666667,184.5714286,452.2,4492.015795,64.6,AK,AK,2069.091741,180.1593625,702.2556975,5
F,0.681098901,30,84.93333333,52,127.4,1265.552437,18.2,SK$\alpha$+2,SK_+2,582.9329673,50.75697211,197.8491284,9
O,0.524809483,100,110.2266667,67.48571429,165.34,1642.436735,23.62,K$\alpha$,K_,756.5316861,65.87250996,256.7690337,8
Ne,0.848459959,100,68.18,41.74285714,102.27,1015.918742,14.61,"K$\alpha$1,2","K_1,2",467.947838,40.74501992,158.8228443,10
Mg,1.25338726,100,46.15333333,28.25714286,69.23,687.7095388,9.89,"K$\alpha$1,2","K_1,2",316.7696179,27.58167331,107.5125209,12
Mg,1.270907536,,45.51708,27.8676,68.27562,678.2290213,9.75366,SK$\alpha\5,SK$\alpha\5,312.4027454,27.20144223,106.0303917,12
Al,1.486448568,100,38.91692,23.82668571,58.37538,579.8830804,8.33934,K$\alpha$1,K_1,267.1030885,23.25712351,90.65555771,13
Al,1.495891006,8,38.67126667,23.67628571,58.0069,576.2227134,8.2867,SK$\alpha\3,SK$\alpha\3,265.417067,23.11031873,90.08331716,13
Al,1.498790304,4,38.59646,23.63048571,57.89469,575.1080537,8.27067,SK$\alpha\4,SK$\alpha\4,264.9036376,23.06561355,89.90905773,13
Si,0.091483395,100,632.3333333,387.1428571,948.5,9422.107433,135.5,"L2,3-M","L2,3-M",4339.967971,377.8884462,1472.997632,14
P,2.013318174,100,28.73266667,17.59142857,43.099,428.1322174,6.157,K$\alpha$1,K_1,197.2043011,17.17091633,66.93170789,15
Ar,0.22017762,100,262.7333333,160.8571429,394.1,3914.868254,56.3,L$\iota$,L_,1803.248685,157.0119522,612.0277983,18
Co,6.929165549,100,8.34848,5.111314286,12.52272,124.396851,1.78896,K$\alpha$1,K_1,57.29910776,4.989131474,19.44748224,27
Ni,8.263283849,20,7.000606667,4.286085714,10.50091,104.312812,1.50013,"K$\beta$1,3","K$\beta$1,3",48.04808968,4.183629482,16.30766005,28
Ni,0.868614673,21,66.598,40.77428571,99.897,992.3460899,14.271,L$\beta$1,L$\beta$1,457.0899108,39.79960159,155.1376325,28
Ni,0.741831239,8,77.98,47.74285714,116.97,1161.944024,16.71,L$\iota$,L_,535.2093342,46.60159363,181.6515899,28
Zn,8.637424659,100,6.697366667,4.100428571,10.04605,99.79437256,1.43515,K$\alpha$1,K_1,45.96682681,4.002410359,15.60127344,30
C,0.283791209,,203.84,124.8,305.76,3037.32585,43.68,AK,AK,1399.039121,121.8167331,474.8379081,6
Zn,1.106785714,1,52.26666667,32,78.4,778.8015,11.2,"L$\beta$3,4","L_3,4",358.7279799,31.23505976,121.7533098,30
Zn,0.090481752,,639.3333333,391.4285714,959,9526.411205,137,Am2,Am2,4388.011897,382.0717131,1489.303879,30
Al,1.486307767,150,38.92060667,23.82894286,58.38091,579.9380138,8.34013,"K$\alpha$1,2","K_1,2",267.1283917,23.25932669,90.66414567,13
Ga,9.250194018,100,6.253706667,3.8288,9.38056,93.18359947,1.34008,K$\alpha$1,K_1,42.92180279,3.7372749,14.56778352,31
P,2.135842035,5,27.0844,16.58228571,40.6266,403.5721559,5.8038,K$\beta$1,K_1,185.891558,16.18589641,63.09213029,15
Ge,1.218280098,35,47.48333333,29.07142857,71.225,707.5272556,10.175,L$\beta$1,L$\beta$1,325.8979639,28.37649402,110.6107078,32
Se,1.204196619,1,48.03866667,29.41142857,72.058,715.8020215,10.294,L$\iota$,L_,329.7094486,28.70836653,111.9043367,34
K,3.602127103,,16.0594,9.832285714,24.0891,239.2937145,3.4413,K$\beta$5,K$\beta$5,110.2223747,9.597250996,37.40979151,19
Ca,4.037390483,,14.32806667,8.772285714,21.4921,213.4959148,3.0703,AK,AK,98.33951041,8.562589641,33.37671313,20
Ca,3.711232796,2,15.58727333,9.543228571,23.38091,232.2587727,3.34013,SK$\alpha\3,SK$\alpha\3,106.9819721,9.315103586,36.30998952,20
Br,11.92221132,100,4.85212,2.970685714,7.27818,72.29920282,1.03974,K$\alpha$1,K_1,33.30212766,2.899673307,11.30283806,35
Ti,4.508078975,150,12.83207333,7.856371429,19.24811,191.2048079,2.74973,"K$\alpha$1,2","K_1,2",88.07188286,7.668569721,29.89185076,22
Br,1.598864956,,36.18066667,22.15142857,54.271,539.1114312,7.753,Al2,Al2,248.3230382,21.62191235,84.28155453,35
Ti,4.961376826,,11.65966667,7.138571429,17.4895,173.7353168,2.4985,K$\beta$5,K$\beta$5,80.02516587,6.967928287,27.16077183,22
Zr,2.039553786,10,28.36306667,17.36514286,42.5446,422.6249783,6.0778,L$\alpha$2,L_2,194.6675818,16.95003984,66.07073805,40
V,5.426370163,20,10.66053333,6.526857143,15.9908,158.8476917,2.2844,"K$\beta$1,3","K$\beta$1,3",73.16769618,6.370836653,24.83332686,23
Zr,2.186976235,3,26.45113333,16.19457143,39.6767,394.1361413,5.6681,L$\beta$4,L_4,181.5451842,15.8074502,61.6169585,40
Fe,7.056774127,20,8.197513333,5.018885714,12.29627,122.1473663,1.75661,"K$\beta$1,3","K$\beta$1,3",56.26296042,4.898912351,19.09581085,26
Zr,2.170890177,3,26.64713333,16.31457143,39.9707,397.0566469,5.7101,L$\beta$6,L_6,182.8904141,15.92458167,62.07353341,40
Fe,0.718192352,20,80.54666667,49.31428571,120.82,1200.18874,17.26,L$\beta$1,L$\beta$1,552.8254404,48.13545817,187.630547,26
Nb,0.158112245,1,365.8666667,224,548.8,5451.6105,78.4,M3-M5,M3-M5,2511.095859,218.6454183,852.2731685,41
Co,6.914131132,50,8.366633333,5.122428571,12.54995,124.6673455,1.79285,K$\alpha$2,K_2,57.42370167,4.99998008,19.48976977,27
Ni,8.330085344,,6.944466667,4.251714286,10.4167,103.4762957,1.4881,AK,AK,47.6627774,4.150079681,16.17688395,28
Nb,0.200258481,10,288.8666667,176.8571429,433.3,4304.269004,61.9,"M4,5O2,3","M4,5O2,3",1982.612674,172.6294821,672.9044532,41
Cu,0.830831099,1,69.62666667,42.62857143,104.44,1037.474855,14.92,L$\eta$,L$\eta$,477.876916,41.60956175,162.192802,29
Mo,2.28946304,10,25.26706,15.46962857,37.90059,376.4928105,5.41437,L$\alpha$2,L_2,173.418394,15.09983665,58.85870249,42
Zn,1.197681159,,48.3,29.57142857,72.45,719.696029,10.35,Al1,Al1,331.5030885,28.86454183,112.5131032,30
Tc,20.59546754,8,2.808773333,1.719657143,4.21316,41.85223632,0.60188,K$\beta$3,K_3,19.2777854,1.678549801,6.542935901,43
Ge,11.1015583,,5.2108,3.190285714,7.8162,77.64372811,1.1166,AK,AK,35.76389842,3.114023904,12.13837015,32
Ge,1.285892116,1,44.98666667,27.54285714,67.48,670.3255768,9.64,L$\beta$4,L_4,308.762297,26.88446215,104.7948131,32
Se,11.20674068,150,5.161893333,3.160342857,7.74284,76.91499243,1.10612,"K$\alpha$1,2","K_1,2",35.42823153,3.084796813,12.02444384,34
Se,11.22043502,100,5.155593333,3.156485714,7.73339,76.82111903,1.10477,K$\alpha$1,K_1,35.38499199,3.081031873,12.00976822,34
Se,1.652139144,,35.014,21.43714286,52.521,521.7274691,7.503,Al1,Al1,240.3157172,20.9247012,81.56384672,34
Kr,12.59628087,50,4.592466667,2.811714286,6.8887,68.43022823,0.9841,K$\alpha$2,K_2,31.5200183,2.744501992,10.69798501,36
Kr,14.10238908,8,4.102,2.511428571,6.153,61.12201058,0.879,K$\beta$3,K_3,28.15374056,2.451394422,9.555460651,36
Kr,14.32235702,,4.039,2.472857143,6.0585,60.18327663,0.8655,AK,AK,27.72134523,2.41374502,9.40870443,36
Kr,1.915919629,,30.19333333,18.48571429,45.29,449.8969379,6.47,Al1,Al1,207.2294669,18.0438247,70.33427806,36
Rb,13.37317813,150,4.325673333,2.648371429,6.48851,64.45486378,0.92693,"K$\alpha$1,2","K_1,2",29.68890414,2.585063745,10.07649959,37
Rb,1.693836,100,34.15206667,20.90942857,51.2281,508.884198,7.3183,L$\alpha$1,L_1,234.3999085,20.40960159,79.55600419,37
Y,17.03449224,,3.395933333,2.079142857,5.0939,50.60123674,0.7277,AK,AK,23.30770991,2.029442231,7.910703886,39
Zr,2.219000054,1,26.0694,15.96085714,39.1041,388.4481089,5.5863,"L$\beta$2,15","L$\beta$2,15",178.9251887,15.57932271,60.7277245,40
Zr,2.304946077,,25.09733333,15.36571429,37.646,373.9637917,5.378,Al2,Al2,172.2534889,14.99840637,58.46333036,40
Nb,18.94949248,4,3.052746667,1.869028571,4.57912,45.48757047,0.65416,K$\beta$2,K_2,20.95227637,1.824350598,7.111262958,41
Nb,2.334375353,3,24.78093333,15.172,37.1714,369.2492612,5.3102,L$\beta$3,L_3,170.0819035,14.80932271,57.726288,41
Nb,2.318959873,3,24.94566667,15.27285714,37.4185,371.7038766,5.3455,L$\beta$4,L_4,171.2125372,14.90776892,58.11002834,41
Nb,2.461428486,1,23.5018,14.38885714,35.2527,350.1894852,5.0361,LG1,LG1,161.3026767,14.0449004,54.74659316,41
Mo,2.472622823,3,23.3954,14.32371429,35.0931,348.6040678,5.0133,L$\beta$3,L_3,160.5724091,13.98131474,54.49873821,42
Ne,0.866744046,,66.74173333,40.86228571,100.1126,994.487794,14.3018,AK,AK,458.0764127,39.88549801,155.4724541,10
Al,1.492641552,2,38.75545333,23.72782857,58.13318,577.4771401,8.30474,SK$\alpha$+,SK_+,265.9948753,23.16062948,90.27942695,13
P,0.119421965,100,484.4,296.5714286,726.6,7217.821045,103.8,"L2,3-M","L2,3-M",3324.639671,289.4820717,1128.392282,15
P,2.021856141,,28.61133333,17.51714286,42.917,426.3242854,6.131,SK$\alpha$+,SK_+,196.3715397,17.09840637,66.64906627,15
S,2.306249721,50,25.08314667,15.35702857,37.62472,373.7524027,5.37496,K$\alpha$2,K_2,172.1561199,14.98992829,58.43028303,16
Cl,0.184108124,100,314.2066667,192.3714286,471.31,4681.84866,67.33,L$\eta$,L$\eta$,2156.531686,187.7729084,731.9330667,17
K,3.312286402,150,17.46467333,10.69265714,26.19701,260.2330444,3.74243,"K$\alpha$1,2","K_1,2",119.867353,10.43705578,40.68332492,19
Ca,4.012040004,15,14.4186,8.827714286,21.6279,214.8449102,3.0897,"K$\beta$1,3","K$\beta$1,3",98.96087852,8.616693227,33.58760725,20
V,5.462958882,,10.58913333,6.483142857,15.8837,157.7837932,2.2691,AK,AK,72.67764814,6.328167331,24.66700314,23
V,0.453401609,1,127.5866667,78.11428571,191.38,1901.11009,27.34,L$\eta$,L$\eta$,875.6806223,76.24701195,297.2085258,23
Cr,0.510123457,1,113.4,69.42857143,170.1,1689.721112,24.3,L$\eta$,L$\eta$,778.3115992,67.7689243,264.1611989,24
Fe,6.389756595,50,9.05324,5.5428,13.57986,134.8981548,1.93998,K$\alpha$2,K$\alpha$2,62.13617021,5.410302789,21.08919517,26
Cu,8.026469998,50,7.207153333,4.412542857,10.81073,107.3904686,1.54439,K$\alpha$2,K_2,49.46570579,4.307063745,16.78880304,29
Zn,9.658719028,,5.9892,3.666857143,8.9838,89.2423076,1.2834,AK,AK,41.10638298,3.579203187,13.9516248,30
Zn,0.078955414,100,732.6666667,448.5714286,1099,10917.12817,157,"M2,3M4,5","M2,3M4,5",5028.597575,437.8486056,1706.720503,30
Ga,10.36454849,,5.581333333,3.417142857,8.372,83.16487446,1.196,K$\beta$2,K_2,38.30702356,3.335458167,13.00151415,31
Ga,1.124557743,35,51.44066667,31.49428571,77.161,766.4936549,11.023,L$\beta$1,L$\beta$1,353.0587966,30.74143426,119.8291727,31
Ge,11.09857642,,5.2122,3.191142857,7.8183,77.66458887,1.1169,K$\beta$2,K_2,35.77350721,3.114860558,12.1416314,32
Ge,1.249093108,,46.312,28.35428571,69.468,690.0737577,9.924,Al2,Al2,317.8586136,27.67649402,107.8821291,32
As,1.281783495,100,45.13086667,27.63114286,67.6963,672.4742345,9.6709,"L$\alpha$1,2","L$\alpha$1,2",309.7520018,26.97063745,105.1307217,33
Br,1.595983005,2,36.246,22.19142857,54.369,540.0849331,7.767,"L$\beta$3,4","L_3,4",248.7714482,21.66095618,84.43374617,35
Kr,12.6305493,150,4.580006667,2.804085714,6.87001,68.24456751,0.98143,"K$\alpha$1,2","K_1,2",31.43450011,2.737055777,10.66895989,36
Kr,14.11041548,16,4.099666667,2.51,6.1495,61.08724266,0.8785,K$\beta$1,K_1,28.13772592,2.45,9.550025236,36
Rb,2.063249001,,28.03733333,17.16571429,42.056,417.7713761,6.008,Al1,Al1,192.4319378,16.75537849,65.31195403,37
Sr,15.8330353,16,3.653626667,2.236914286,5.48044,54.44100628,0.78292,K$\beta$1,K_1,25.07636696,2.183442231,8.510991187,38
Y,14.9558419,100,3.86792,2.368114286,5.80188,57.63409243,0.82884,K$\alpha$1,K_1,26.54715168,2.311505976,9.010179757,39
Zr,2.302249132,1,25.12673333,15.38371429,37.6901,374.4018675,5.3843,LG1,LG1,172.4552734,15.0159761,58.53181659,40
Zr,1.791717858,3,32.28633333,19.76714286,48.4295,481.0837659,6.9185,L$\iota$,L_,221.5946008,19.29462151,75.20984587,40
Nb,18.60311553,7,3.109586667,1.903828571,4.66438,46.3345171,0.66634,K$\beta$3,K_3,21.34239305,1.858318725,7.243669682,41
Mo,2.626827718,,22.022,13.48285714,33.033,328.1396677,4.719,Al2,Al2,151.1461908,13.16055777,51.29945258,42
Mo,0.351161473,1,164.7333333,100.8571429,247.1,2454.615442,35.3,M2-N1,M2-N1,1130.633722,98.44621514,383.7403424,42
Mo,0.22620438,50,255.7333333,156.5714286,383.6,3810.564482,54.8,"M4,5O2,3","M4,5O2,3",1755.204759,152.8286853,595.7215514,42
O,0.531560892,,108.8266667,66.62857143,163.24,1621.57598,23.32,AK,AK,746.9229009,65.03585657,253.5077843,8
Na,1.067018322,5,54.21462667,33.19262857,81.32194,807.8271537,11.61742,K$\beta$1,K_1,372.0976436,32.39917928,126.2910122,11
Al,1.553013693,5,37.24886667,22.80542857,55.8733,555.0281869,7.9819,K$\beta$1,K_1,255.6545413,22.26027888,86.7698878,13
Al,1.510325921,,38.30166667,23.45,57.4525,570.7154742,8.2075,SK$\alpha\6,SK$\alpha\6,262.8803477,22.88944223,89.22234732,13
Ca,0.34490818,10,167.72,102.6857143,251.58,2499.118385,35.94,L$\beta$1,L$\beta$1,1151.132464,100.2310757,390.6976744,20
Sc,4.085426142,50,14.1596,8.669142857,21.2394,210.9856706,3.0342,K$\alpha$2,K_2,97.18325326,8.461912351,32.98427612,21
